Tinamous: Tinamidae
1	Little Tinamou	Crypturellus soui
321	Buff-breasted Mountain-Tanager	Dubusia taeniata
322	Blue-gray Tanager	Thraupis episcopus
323	Palm Tanager	Thraupis palmarum
324	Blue-capped Tanager	Thraupis cyanocephala
325	Black-headed Tanager	Tangara cyanoptera
326	Black-capped Tanager	Tangara heinei
327	Bay-headed Tanager	Tangara gyrola
328	Swallow Tanager	Tersina viridis
329	Blue Dacnis	Dacnis cayana
330	Red-legged Honeycreeper	Cyanerpes cyaneus
331	Rufous-browed Conebill	Conirostrum rufum
332	Black Flowerpiercer	Diglossa humeralis
333	White-sided Flowerpiercer	Diglossa albilatera
334	Rusty Flowerpiercer	Diglossa sittoides
335	Bluish Flowerpiercer	Diglossa caerulescens
336	Plushcap	Catamblyrhynchus diadema
337	Slaty Finch	Spodiornis rustica
338	Gray-hooded Bush Tanager	Cnemoscopus rubrirostris
339	Stripe-tailed Yellow-Finch	Sicalis citrina
340	Blue-black Grassquit	Volatinia jacarina
341	Chestnut-bellied Seedeater	Sporophila castaneiventris
342	Ruddy-breasted Seedeater	Sporophila minuta
343	Chestnut-bellied Seed-Finch	Sporophila angolensis
344	Large-billed Seed-Finch	Sporophila crassirostris
345	Yellow-bellied Seedeater	Sporophila nigricollis
346	Plain-colored Seedeater	Catamenia inornata
347	Paramo Seedeater	Catamenia homochroa
348	Bananaquit	Coereba flaveola
349	Yellow-faced Grassquit	Tiaris olivaceus
350	Dull-colored Grassquit	Tiaris obscurus
351	Black-faced Grassquit	Tiaris bicolor
352	Buff-throated Saltator	Saltator maximus
353	Grayish Saltator	Saltator coerulescens
354	Streaked Saltator	Saltator striatipectus
